company_raw,company_normalized,official_name,factset_entity_id
RâˆšÂ©my Cointreau,raˆsa my cointreau,Rémy Cointreau Group,05HX5S-E
CLS RÃ©my Cointreau,cls ra my cointreau,Rémy Cointreau Group,05HX5S-E
CLS Rémy Cointreau,cls remy cointreau,Rémy Cointreau Group,05HX5S-E
JJGC Industria e Comercio de Materiais Dentarios S.A.,jjgc industria e comercio de materiais dentarios s a,Straumann Holding AG,05HX67-E
Taishin Securities Co. Ltd.,taishin securities,"Taishin Financial Holding Co., Ltd.",05HX6L-E
Taishin Bank,taishin bank,"Taishin Financial Holding Co., Ltd.",05HX6L-E
Hero MotoCorp Ltd.,hero motocorp,Hero MotoCorp Ltd.,05HX6P-E
MITSUBISHI LOGISTICS,mitsubishi logistics,Mitsubishi Logistics Corporation,05HX6S-E
"Toho Gas Co., Ltd.",toho gas,"Toho Gas Co., Ltd.",05HX75-E
Türkiye Garanti Bankası A.Ş.,turkiye garanti bankası a s,Türkiye Garanti Bankası A.Ş.,05HX7L-E
Garanti BBVA,garanti bbva,Türkiye Garanti Bankası A.Ş.,05HX7L-E
TâˆšÂºrkiye Garanti BankasÆ’Â± A.â‰ˆÃ».,taˆsaorkiye garanti bankasæ a a a ˆa,Türkiye Garanti Bankası A.Ş.,05HX7L-E
Flight Centre Travel Group,flight centre travel,Flight Centre Travel Group Limited,05HX7S-E
Flight Centre (UK) Ltd,flight centre uk,Flight Centre Travel Group Limited,05HX7S-E
Discova,discova,Flight Centre Travel Group Limited,05HX7S-E
Flight Centre,flight centre,Flight Centre Travel Group Limited,05HX7S-E
Howden Group Services Limited,howden services,Howden Joinery Group Plc,05HX7X-E
Howden Joinery Ltd Manufacturing,howden joinery manufacturing,Howden Joinery Group Plc,05HX7X-E
Transurban,transurban,Transurban Group,05HX80-E
Sabesp,sabesp,Companhia de Saneamento Básico do Estado de São Paulo,05HX85-E
TOYOTA TSUSHO CORPORATION.,toyota tsusho,Toyota Tsusho Corporation,05HX88-E
National Express Limited,national express,National Express Group PLC,05HX8P-E
"Dah sing bank co., LTD.",dah sing bank,Dah Sing Financial Holdings Limited,05HX8Y-E
VERBUND Energy4Business GmbH,verbund energy4business,VERBUND AG,05HX92-E
Wienerberger GmbH,wienerberger,Wienerberger AG,05HXBN-E
Wienerberger GmbH Germany,wienerberger germany,Wienerberger AG,05HXBN-E
